          Pi       NnzSnp      SigmaSq            S       ResVar       GenVar     SigmaSqG          hsq 
  0.00869952        24318  0.000271627    -0.150365      6.59097      1.58571      2.43201     0.206887 









  0.00533315        15029  9.54225e-05    -0.325332      7.16555     0.655502     0.665756    0.0855232 









  0.00540519        15045  8.47329e-05    -0.332263      7.16859      0.60354     0.602289    0.0787438 






   0.0133014        37093   4.2301e-05   -0.0975131      7.13931     0.618992     0.615097    0.0807598 









   0.0133883        37497  4.54984e-05   -0.0904903      7.11586     0.670324     0.662035     0.087457 









   0.0132911        37498   4.5141e-05   -0.0789108      7.11596     0.668614     0.656387    0.0872339 









   0.0126164        35057   4.6928e-05   -0.0681289      7.14984     0.640255     0.627865     0.083534 









   0.0130053        36476  4.65314e-05   -0.0695031      7.12769     0.654523     0.649096    0.0853954 









   0.0129171        36535  4.54866e-05    -0.110591       7.0975     0.655227     0.653721    0.0854874 









   0.0130106        36393  4.39173e-05    -0.139784      7.12631     0.648805     0.648696    0.0846495 









    0.013392        37405  4.23115e-05    -0.137627      7.14769     0.638312     0.635048    0.0832805 









     0.01348        37611  4.24646e-05    -0.123052      7.11883     0.640797     0.629049    0.0836047 









   0.0133078        37242  4.13083e-05    -0.124507      7.15295     0.617337     0.611069    0.0805438 









   0.0135787        38164  4.02088e-05   -0.0921269      7.18446     0.608578     0.602058     0.079401 









   0.0138043        38919  4.00096e-05   -0.0994097      7.14162     0.615475     0.609605     0.080301 









   0.0142127        39944  3.98359e-05   -0.0855884      7.17378     0.641193      0.61586    0.0836563 









   0.0144373        40555  4.07115e-05   -0.0730162      7.15053     0.646126     0.628021       0.0843 









   0.0139873        39375  4.03816e-05   -0.0616267      7.13299     0.617244     0.606457    0.0805317 









   0.0142727        40214  4.19833e-05   -0.0517264      7.16551     0.638607     0.634491     0.083319 









   0.0146596        41352  4.03927e-05   -0.0451296      7.15514     0.636034     0.617513    0.0829833 









   0.0144872        40625  4.02468e-05   -0.0567065      7.11563      0.62403      0.62957    0.0814171 









   0.0145517        41083  4.04615e-05   -0.0513585      7.14145     0.630563      0.62815    0.0822694 









   0.0150524        42050  4.09015e-05   -0.0701503      7.10376     0.667482     0.661062    0.0870862 









   0.0148352        41333  4.10666e-05   -0.0755836      7.13709     0.656883     0.645681    0.0857034 









   0.0142941        40083   4.1569e-05   -0.0631821      7.12477     0.638274     0.632815    0.0832754 









   0.0143736        40541  4.14525e-05   -0.0541781      7.15711     0.653459     0.641009    0.0852567 









    0.014871        41480  4.16879e-05   -0.0458514      7.10945     0.648136     0.649764    0.0845622 









   0.0144103        40504  4.28344e-05   -0.0455273      7.10876     0.648779     0.648909    0.0846461 









   0.0142986        40009  4.14418e-05   -0.0737771       7.1546     0.642481     0.638778    0.0838244 









   0.0140017        39296    4.026e-05   -0.0799119      7.17145     0.626099     0.611909     0.081687 









   0.0146365        40853  4.02029e-05   -0.0995051      7.13901     0.650812     0.639844    0.0849114 









   0.0143463        40450  4.08715e-05    -0.108043      7.11531     0.648525     0.655729    0.0846129 









   0.0142643        40182  3.97627e-05    -0.124021      7.10514     0.627291     0.631337    0.0818425 









   0.0139529        39067  4.13313e-05    -0.114388      7.11646     0.641559     0.640883    0.0837041 









   0.0142927        39841  4.24086e-05    -0.115231      7.13955     0.666602     0.674833    0.0869714 









   0.0144691        40665  4.11247e-05    -0.106623      7.11848      0.67046     0.659071    0.0874748 









   0.0145628        40641  4.08587e-05    -0.104391      7.11687     0.656219     0.650198    0.0856167 









   0.0145759        40746  4.00398e-05    -0.120922      7.16178      0.64483     0.649116    0.0841309 









   0.0146655        41040  3.90386e-05    -0.113863       7.1686     0.641118     0.630928    0.0836465 









