p1                                                                                                                                                                                                         p2      rg      se       z           p  h2_obs  h2_obs_se  h2_int  h2_int_se  gcov_int  gcov_int_se
UKB_AD_female         UKB_AD_male  1.0330  0.0672  15.3696  2.6163e-53  0.0684     0.0069  1.0143     0.0067  1.9580e-03       0.0052
AGDS_AD_male     AllOfUs_AD_male  0.7328  0.2028  3.6131  3.0258e-04  0.0468     0.0120  0.9977     0.0081    0.0035       0.0048
AGDS_AD_male      Bionic_AD_male  0.7273  0.2200  3.3054  9.4825e-04  0.0766     0.0216  1.0003     0.0076    0.0003       0.0052
AGDS_AD_male  Blokland21_AD_male  1.1092  0.2763  4.0141  5.9664e-05  0.0765     0.0203  1.0190     0.0090   -0.0010       0.0061
AGDS_AD_male        GLAD_AD_male  0.5037  0.4462  1.1288  2.5896e-01  0.0978     0.0679  0.9927     0.0078   -0.0017       0.0055
AGDS_AD_male         UKB_AD_male  1.1186  0.1778  6.2931  3.1127e-10  0.0750     0.0077  1.0083     0.0080   -0.0111       0.0056
AllOfUs_AD_male      Bionic_AD_male  0.7332  0.2438  3.0070  2.6383e-03  0.0716     0.0207  1.0010     0.0073    0.0035       0.0052
AllOfUs_AD_male  Blokland21_AD_male  0.7249  0.2420  2.9954  2.7408e-03  0.0653     0.0194  1.0236     0.0084    0.0061       0.0059
AllOfUs_AD_male        GLAD_AD_male  0.9859  0.4240  2.3253  2.0054e-02  0.0982     0.0664  0.9938     0.0071   -0.0077       0.0049
AllOfUs_AD_male         UKB_AD_male  0.9666  0.1543  6.2631  3.7741e-10  0.0685     0.0070  1.0145     0.0066   -0.0040       0.0049
Bionic_AD_male  Blokland21_AD_male  1.1095  0.2872  3.8631  1.1196e-04  0.0688     0.0191  1.0215     0.0086    0.0073       0.0064
Bionic_AD_male        GLAD_AD_male  0.6502  0.3833  1.6964  8.9811e-02  0.1001     0.0693  0.9932     0.0074    0.0018       0.0052
Bionic_AD_male         UKB_AD_male  0.8505  0.1529  5.5645  2.6292e-08  0.0714     0.0075  1.0103     0.0076   -0.0020       0.0048
Blokland21_AD_male  GLAD_AD_male  1.4233  0.5225  2.7238  6.4532e-03  0.1318     0.0806  0.9832     0.0100   -0.0038       0.0070
Blokland21_AD_male   UKB_AD_male  1.5068  0.2362  6.3804  1.7668e-10  0.0637     0.0081  1.0186     0.0096   -0.0181       0.0063
GLAD_AD_male  UKB_AD_male  0.9572  0.3372  2.8383  0.0045  0.0714     0.0076  1.0107      0.007   -0.0055       0.0051
