          Pi       NnzSnp      SigmaSq            S       ResVar       GenVar     SigmaSqG          hsq 
  0.00876489        24580  0.000349058    -0.122048      7.13173      2.02552      2.94805     0.236729 









  0.00539352        15009  0.000121047    -0.279984       7.9642     0.746202     0.772043    0.0872111 









   0.0049558        13977  0.000104435    -0.300148      7.99061     0.649878     0.641248    0.0759533 






  0.00898391        25495   5.6642e-05    -0.334004      7.98471     0.658768     0.636965    0.0769924 









  0.00890285        25168  5.48975e-05    -0.365461      8.01164     0.647708     0.638543    0.0756997 









  0.00927942        25893  5.95527e-05    -0.345987      8.00456     0.687004     0.700356    0.0802924 









  0.00909864        25621  5.65685e-05      -0.3467      7.97199     0.662755     0.659021    0.0774583 









  0.00910157        25937  5.79991e-05    -0.346116      7.97745     0.678899     0.677872    0.0793452 









  0.00951421        26554  5.62426e-05    -0.347274      7.99068     0.683362      0.67402    0.0798668 









  0.00919962        25867  5.40591e-05    -0.327226      8.00757     0.639514     0.626508    0.0747421 









  0.00949599        26589  5.19295e-05    -0.304137      8.02608      0.61151     0.598168    0.0714692 









  0.00998434        28157  5.17174e-05    -0.312123      7.96755     0.639221     0.639434    0.0747078 









   0.0102855        29136  5.33008e-05    -0.313488      7.93002     0.680642     0.676605    0.0795489 









   0.0100311        28441  5.37618e-05    -0.313488      7.96872     0.680302     0.682458    0.0795092 









   0.0103289        28993  5.09387e-05    -0.311626      7.95404     0.658295     0.647242    0.0769371 









   0.0102708        28921  5.12901e-05    -0.312614      7.99466     0.664173      0.65821    0.0776241 









   0.0102227        28647  5.13039e-05    -0.312016      7.98515     0.664582     0.642477    0.0776719 









   0.0104037        29109  5.12157e-05    -0.314243      7.94336     0.671091     0.656445    0.0784326 









   0.0103157        28875  4.95761e-05    -0.331156      8.04894     0.642702     0.640364    0.0751147 









   0.0104933        29414  4.97613e-05    -0.322904       7.9818     0.659696     0.652184    0.0771009 









    0.010464        29357  4.75914e-05    -0.347868      7.98067     0.653651     0.638144    0.0763943 









   0.0105206        29681  4.81487e-05    -0.364231      7.93744     0.670897     0.662946    0.0784099 









    0.010309        28941  4.74129e-05    -0.326009      8.03547     0.622585     0.612862    0.0727636 









   0.0104843        29355  4.94408e-05    -0.283773      8.04146     0.633499     0.620028    0.0740391 









   0.0106974        30217  5.03332e-05    -0.296043       8.0119      0.66115      0.65633    0.0772708 









   0.0107294        30132  5.16897e-05    -0.290985      7.94718     0.679512     0.667273    0.0794168 









   0.0106592        29897  5.36821e-05    -0.285551      7.98124     0.684182     0.686842    0.0799626 









   0.0106209        29943  5.20996e-05    -0.287699      7.94036      0.67339     0.667293    0.0787014 









    0.010299        29344   5.4543e-05    -0.286676       7.9923     0.685788     0.687237    0.0801503 









  0.00985195        27923  5.31948e-05    -0.290778      7.99352     0.653899     0.640243    0.0764233 









  0.00957546        27140  5.38413e-05     -0.28366      8.01576     0.644275     0.637657    0.0752986 









   0.0100007        28057  5.26631e-05    -0.272623      8.00966     0.630346      0.62642    0.0736706 









  0.00983685        27923  5.24463e-05    -0.306047       8.0103     0.643614     0.642204    0.0752213 









  0.00973578        27322  5.18957e-05    -0.311097      8.02783     0.629217     0.622657    0.0735387 









  0.00962218        27150  5.38045e-05     -0.30223      8.07099     0.643841     0.636912    0.0752479 









   0.0096567        27345  5.52235e-05    -0.276436      7.98185     0.665317     0.645841    0.0777578 









   0.0100017        28176  5.68712e-05    -0.250768      7.93071     0.662168     0.665484    0.0773898 









  0.00997415        28363    5.573e-05    -0.242178      7.99872     0.670766     0.652021    0.0783947 









   0.0105789        29517  5.76359e-05     -0.24501      7.92784     0.704692     0.702356    0.0823597 









   0.0102655        28987  5.81076e-05     -0.25359      7.93799     0.717355     0.704467    0.0838397 









   0.0105925        29729   5.3963e-05    -0.238069      7.95828     0.679428     0.661968     0.079407 









   0.0105921        29970  5.61471e-05    -0.205964      7.94327     0.690533     0.674237    0.0807049 









   0.0105975        29701  5.78649e-05    -0.176334      8.00866      0.68115     0.673126    0.0796082 









   0.0105737        29742  5.58417e-05    -0.178865      8.02734     0.663884     0.647703    0.0775904 









   0.0105791        29894  5.70182e-05    -0.188628      8.02336       0.6789     0.668487    0.0793453 









   0.0106251        30103  5.49995e-05     -0.19564      7.96864     0.661464     0.653784    0.0773074 









    0.010952        30616  5.46018e-05    -0.190711      8.01945     0.660045     0.656475    0.0771416 









   0.0108007        30438  5.78526e-05     -0.18735      7.97303     0.686876      0.69494    0.0802775 









   0.0105239        29587  5.72675e-05    -0.224474      7.91718      0.67738     0.686502    0.0791677 









   0.0105971        29885  5.72829e-05    -0.197789      7.95182     0.673946     0.679646    0.0787663 









   0.0106701        30243    5.327e-05    -0.196877      7.99522     0.646034     0.644611    0.0755041 









   0.0107736        30001  5.58112e-05    -0.183377      8.00531     0.646756     0.653734    0.0755886 









   0.0107688        30335  5.66495e-05     -0.17488      7.96163     0.662687     0.667203    0.0774504 









   0.0106428        29911  5.80298e-05    -0.169029      8.00273     0.669908     0.673677    0.0782944 









   0.0104634        29569  5.66671e-05    -0.173411       7.9299     0.653408     0.651157     0.076366 









   0.0104897        29145  5.67071e-05    -0.154636      7.95118     0.636988     0.632715    0.0744469 









   0.0106699        29559  6.12158e-05     -0.12138      7.99618     0.676691     0.672419    0.0790871 









   0.0107885        30228  6.02693e-05    -0.103841      8.01293     0.665506     0.670854    0.0777799 









   0.0109316        30319   5.9671e-05    -0.104078      7.95979     0.675331     0.670974    0.0789282 









   0.0109295        30812  5.30928e-05    -0.119841      8.06073     0.618755     0.610358    0.0723159 









    0.010751        30445  5.67576e-05     -0.11103      7.97062     0.653219     0.641814    0.0763438 









   0.0105321        29912   6.0547e-05     -0.10828      8.00768     0.671665     0.665785    0.0784997 









   0.0104861        29260  6.05643e-05   -0.0838173      8.03861     0.648035     0.641276     0.075738 









   0.0103291        29081  5.98117e-05   -0.0628977      8.03298     0.633947     0.615985    0.0740915 









   0.0104145        29073  5.91633e-05   -0.0427952      8.00673     0.599561     0.595807    0.0700727 









   0.0105349        29554   6.1137e-05   -0.0119491      8.03929     0.617357     0.613034    0.0721526 









   0.0108502        30445  5.90483e-05   -0.0237542      8.02136     0.633606     0.614373    0.0740516 









   0.0111546        31177  6.00512e-05   -0.0368541      8.07934     0.640398     0.651011    0.0748454 









   0.0109974        30524  5.99413e-05   -0.0195312      8.05897      0.63553     0.631724    0.0742765 









   0.0109218        30668  5.99054e-05  -0.00956523      8.03929     0.636551     0.630105    0.0743958 









   0.0106265        29841  5.72822e-05   -0.0337745      8.04117     0.596293     0.593459    0.0696907 









   0.0106741        30178  5.68503e-05   -0.0248779      8.02223     0.602397     0.595962    0.0704041 









   0.0105095        29569  5.73565e-05   -0.0316538      8.00593     0.601248     0.595697    0.0702699 









   0.0105964        29901  5.91216e-05   -0.0158341      8.02719     0.617107     0.602734    0.0721233 









